Course Name,Folder / Section,Lecture Title,YouTube URL,YouTube Video ID,Google Drive / Notes URL,PDF URL,Other Material URL,Live Class URL,Lock Status,Course ID
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৯ টপিক,"ব্যাকরণ : দ্বিরুক্তি শব্দ, পুরুষ ও পদাশ্রিত নির্দেশক, নরবাচক ও নারীবাচক শব্দ",https://www.youtube.com/watch?v=p86owJ-C3vM,p86owJ-C3vM,https://drive.google.com/drive/folders/1bc8hnkNn2gaIftzGxlMPWb9xpE7Lj3Vt?usp=drive_link,,,https://youtube.com/live/p86owJ-C3vM?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৯ টপিক,"English Grammar : Transformation Of Sentence: (Simple, Compound & Complex Sentence), Basic Sentence & Changing Sentence",https://www.youtube.com/watch?v=Z3LNKw-rEVI,Z3LNKw-rEVI,,,,https://youtube.com/live/Z3LNKw-rEVI?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৯ টপিক,"সাধারণ জ্ঞান : বাংলার প্রাচীন ইতিহাস - জনপদ ও বাংলায় বিভিন্ন শাসন আমল (মৌর্য থেকে বার ভূঁইয়া), বাংলায় ইউরেপীয়দের আগমন ও ব্রিটিশ শাসন আমল",https://www.youtube.com/watch?v=okEmdL8an_M,okEmdL8an_M,https://drive.google.com/drive/folders/1pO1Tmd2alhjeRQSiYdzyKbUzk1C8oygv?usp=drive_link,,,https://youtube.com/live/okEmdL8an_M?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৯ টপিক,English 1st Paper : Unit Nine: Adolescence,https://www.youtube.com/watch?v=NOfE5PpK0rw,NOfE5PpK0rw,,,,https://youtube.com/live/NOfE5PpK0rw?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-১০ টপিক,"বাংলা ১ম পত্র : প্রতিদান, পদ্মা",https://www.youtube.com/watch?v=IajGJseNxPw,IajGJseNxPw,,,,https://youtube.com/live/IajGJseNxPw?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-১০ টপিক,"ব্যাকরণ : পদ প্রকরণ ও পরিবর্তন, ক্রিয়াপদ",https://www.youtube.com/watch?v=ZQeCa7NYbF0,ZQeCa7NYbF0,https://drive.google.com/drive/folders/1M0FFxxclUrx0m_Z0REPb9N_cdbz-PELd?usp=drive_link,,,,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-১০ টপিক,"English Grammar : Identification of Clause, Identification of Phrase",https://www.youtube.com/watch?v=HdW2EkndWVM,HdW2EkndWVM,https://drive.google.com/drive/folders/1-LWmT-vnBcVXIv9iK2zsJ3_A3UuXOntb?usp=drive_link,,,https://youtube.com/live/HdW2EkndWVM?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-১০ টপিক,সাধারণ জ্ঞান : সিপাহী বিদ্রোহ থেকে ১৯৪৭ এর দেশভাগ ও ১৯৫২ এর ভাষা আন্দোলন সাল থেকে মুক্তিযুদ্ধ,https://www.youtube.com/watch?v=9BsglYDjNoE,9BsglYDjNoE,https://drive.google.com/drive/folders/14A7lPMDjP-iXlKtHULgctZw_31oE1hqk?usp=drive_link,,,https://youtube.com/live/9BsglYDjNoE?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-১০ টপিক,English 1st Paper : Unit Ten: Lifestyle,https://www.youtube.com/watch?v=-Jimu67PR_k,-Jimu67PR_k,https://drive.google.com/file/d/1qFD9OH5ool9T-vgVNHylE_yM9EvnJfR4/view?usp=drivesdk,,,,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-১১ টপিক,"ব্যাকরণ : বচন ও সংখ্যাবাচক শব্দ, পদক্রম",https://www.youtube.com/watch?v=KOl7gNYuEiA,KOl7gNYuEiA,https://drive.google.com/drive/folders/1mW4tjkXGXa7kMcRpGWh6qce8QjJEvu9n?usp=drive_link,,,https://youtube.com/live/KOl7gNYuEiA?feature=share,purchased,6a5a31acadc93e04e499bd95
